tag,device,dtype,raw_min,raw_max,eng_min,eng_max,desc
SV_LT303_H,%MW1069,WORD,0.0,16000.0,0.0,100.0,보일러용수공급탱크레벨 HIGH SET
SV_LT303_L,%MW1070,WORD,0.0,16000.0,0.0,100.0,보일러용수공급탱크레벨 LOW SET
SV_LT303_LL,%MW1071,WORD,0.0,16000.0,0.0,100.0,보일러용수공급탱크레벨 L.LOW SET
SV_F425_H,%MW1072,WORD,0.0,16000.0,0.0,60.0,소석회분말 정량공급인버터 제어출력 HIGH SET
SV_F425_L,%MW1073,WORD,0.0,16000.0,0.0,60.0,소석회분말 정량공급인버터 제어출력 LOW SET
SV_F420_H,%MW1074,WORD,0.0,16000.0,0.0,60.0,활성탄정량공급인버터 제어출력 HIGH SET
SV_F420_L,%MW1075,WORD,0.0,16000.0,0.0,60.0,활성탄정량공급인버터 제어출력 LOW SET
SV_P416A_H,%MW1076,WORD,0.0,16000.0,0.0,2.0,소석회슬러지 공급펌프 A 인버터제어출력 HIGH SET
SV_P416A_L,%MW1077,WORD,0.0,16000.0,0.0,2.0,소석회슬러지 공급펌프 A 인버터제어출력 LOW SET
SV_P416B_H,%MW1078,WORD,0.0,16000.0,0.0,2.0,소석회슬러지 공급펌프 B 인버터제어출력 HIGH SET
SV_P416B_L,%MW1079,WORD,0.0,16000.0,0.0,2.0,소석회슬러지 공급펌프 B 인버터제어출력 LOW SET
C103T1,%MW1080,WORD,0.0,1.0,0.0,20.0,램피더 설정횟수
SV_F502,%MW1081,WORD,0.0,16000.0,-100.0,100.0,유인송풍기전단댐퍼 S.P(소각로내압력)
MV_F502,%MW1082,WORD,0.0,16000.0,0.0,60.0,유인송풍기전단개도 MAN OUT
MVHI_F502,%MW1083,WORD,0.0,16000.0,0.0,60.0,유인송풍기전단댐퍼 조작값 상한
MVLO_F502,%MW1084,WORD,0.0,16000.0,0.0,60.0,유인송풍기전단댐퍼 조작값 하한
P_F502,%MW1085,WORD,0.0,1.0,0.0,10000.0,유인송풍기전단댐퍼 PID-P
I_F502,%MW1086,WORD,0.0,1.0,0.0,30000.0,유인송풍기전단댐퍼 PID-I
D_F502,%MW1087,WORD,0.0,1.0,0.0,30000.0,유인송풍기전단댐퍼 PID-D
SV_TCV301,%MW1088,WORD,0.0,16000.0,0.0,500.0,폐열보일러 출구스팀온도 조절밸브 S.P
MV_TCV301,%MW1089,WORD,0.0,16000.0,0.0,100.0,폐열보일러 출구스팀온도 조절밸브 MAN OUT
MVHI_TCV301,%MW1090,WORD,0.0,16000.0,0.0,100.0,폐열보일러 출구스팀온도 조절밸브 조작값 상한
MVLO_TCV301,%MW1091,WORD,0.0,16000.0,0.0,100.0,폐열보일러 출구스팀온도 조절밸브 조작값 하한
P_TCV301,%MW1092,WORD,0.0,1.0,0.0,10000.0,폐열보일러 출구스팀온도 조절밸브 PID-P
I_TCV301,%MW1093,WORD,0.0,1.0,0.0,30000.0,폐열보일러 출구스팀온도 조절밸브 PID-I
D_TCV301,%MW1094,WORD,0.0,1.0,0.0,30000.0,폐열보일러 출구스팀온도 조절밸브 PID-D
SV_PCV322,%MW1095,WORD,0.0,16000.0,0.0,10.0,탈기기 압력 공급조절밸브 S.P
MV_PCV322,%MW1096,WORD,0.0,16000.0,0.0,100.0,탈기기 압력 공급조절밸브 MAN OUT
MVHI_PCV322,%MW1097,WORD,0.0,16000.0,0.0,100.0,탈기기 압력 공급조절밸브 조작값 상한
